161,age,gender,genderpref,height,ethnicity,birthplace,Politics,religion,year,activities,college,major,brbs,snack,prelim,meme,friday,date,work,sleep,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,numdated,longestrelationship,toolongtext,commitment
item1,20,male,male,74,white,"Colorado Springs, Colorado",1,1,sophomore,"['greeklife', 'clubsports', 'profclub']",cals,Biology and Plant Pathology,item1,item4,item7,item2,item5,item3,20:30,7to9,Sort of Agree,Sort of Agree,Sort of Agree,Sort of Agree,Agree,Strongly Disagree,Sort of Agree,Sort of Agree,Sort of Agree,Sort of Agree,Disagree,Agree,Disagree,Sort of Agree,3,18,24,meetfriends
item2,18,female,male,64,white,"Lansing, NY",2,4,freshman,['otherclub'],cals,Environmental and Sustainability Sciences,item7,item5,item3,item7,item5,item3,late morning/early afternoon. Night if I have to,4to6,Disagree,Sort of Agree,Agree,Disagree,Strongly Agree,Disagree,Agree,Sort of Agree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,1,2,5,willsee
item2,20,male,female,70,other,Honolulu,5,4,junior,['greeklife'],engineering,Chemical Engineering,item13,item4,item7,item1,item2,item4,Afternoon,7to9,Agree,Agree,Disagree,Disagree,Sort of Agree,Strongly Disagree,Sort of Agree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Disagree,1,4,4,willsee
item2,21,male,female,67,asian,Singapore,3,1,freshman,['otherclub'],cals,Plant Science,item5,item3,item3,item5,item4,item5,8:00,7to9,Strongly Agree,Sort of Agree,Strongly Agree,Disagree,Sort of Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Disagree,0,0,0,willsee
item1,19,female,male,57,white,New York City ,2,1,sophomore,"['greeklife', 'otherclub']",aap,Fine Arts Major with a film minor ,item11,item1,item3,item2,item5,item8,21:00,4to6,Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Disagree,Disagree,Sort of Agree,Strongly Agree,2,2 years ,5 hours ,willsee
item6,22,male,female,74,white,Miami,3,1,senior,"['greeklife', 'ta', 'socialclub']",cals,Applied Economics and Management ,item9,item3,item1,item6,item6,item4,21:00,4to6,Sort of Agree,Strongly Disagree,Agree,Sort of Agree,Agree,Strongly Disagree,Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Sort of Agree,Agree,9,14,48,willsee
item2,19,female,either,63,white,Honolulu,2,4,sophomore,"['projectteam', 'otherclub']",engineering,Operations Research,item2,item4,item4,item1,item3,item8,0:00,7to9,Sort of Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Sort of Agree,2,9,48,willsee
item2,19,female,male,66,black,Queens,2,3,sophomore,,cals,Animal Science,item4,item4,item7,item2,item1,item8,20:30,4to6,Strongly Agree,Agree,Agree,Sort of Agree,Sort of Agree,Disagree,Sort of Agree,Sort of Agree,Disagree,Agree,Agree,Disagree,Disagree,Sort of Agree,0,0,48,willsee
item6,19,male,male,69,white,Minneapolis,2,1,freshman,['greeklife'],arts,Economics,item13,item6,item3,item1,item3,item7,22:00,7to9,Strongly Disagree,Sort of Agree,Sort of Agree,Disagree,Agree,Disagree,Agree,Sort of Agree,Disagree,Sort of Agree,Strongly Disagree,Sort of Agree,Agree,Agree,3,8,24,willsee
item6,19,female,male,65,white,Ithaca,2,1,freshman,"['greeklife', 'otherclub']",arts,Sociology,item6,item1,item5,item1,item5,item3,Afternoon,7to9,Sort of Agree,Agree,Sort of Agree,Disagree,Agree,Sort of Agree,Agree,Strongly Agree,Agree,Agree,Agree,Sort of Agree,Sort of Agree,Agree,2,27,12,willsee
item2,21,female,female,61,asian,,3,3,senior,"['otherclub', 'culturalclub', 'socialclub']",arts,Comparative literature,item2,item1,item7,item2,item1,item4,0:00,4to6,Agree,Sort of Agree,Sort of Agree,Agree,Sort of Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Sort of Agree,0,0,3,willsee
item2,19,female,male,71,black,"montego bay, jamaica",3,3,sophomore,"['athlete', 'otherclub']",humec,"Human Biology, Health, and Society",item6,item4,item7,item3,item1,item7,16:30,7to9,Sort of Agree,Sort of Agree,Disagree,Disagree,Strongly Agree,Sort of Agree,Disagree,Strongly Agree,Sort of Agree,Agree,Agree,Agree,Disagree,Disagree,0,0,4,willsee
item7,19,female,male,63,white,"Redding, CT",4,4,sophomore,"['proffrat', 'socialclub']",cals,Animal Science,item11,item1,item5,item6,item3,item1,at night (after 5pm),7to9,Agree,Disagree,Agree,Sort of Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,two,16,12,willsee
item5,18,female,male,66,black,"Camden, New Jersey ",3,4,freshman,"['otherclub', 'profclub']",hotel,Hotel Administration ,item5,item1,item7,item6,item2,item4,20:30,4to6,Strongly Disagree,Sort of Agree,Agree,Disagree,Sort of Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Sort of Agree,Agree,Sort of Agree,1,1,24 hours ,willsee
item3,20,male,female,74,asian,Long Island,2,2,junior,"['profclub', 'otherclub', 'ta']",arts,"Biological Sciences, Economics",item13,item1,item7,item5,item1,item8,13:00,7to9,Strongly Agree,Agree,Sort of Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Sort of Agree,Agree,Agree,Disagree,Sort of Agree,Sort of Agree,2,14,5,meetfriends
item2,20,male,female,71,white,,2,1,junior,"['ta', 'otherclub']",arts,Physics,item2,item1,item7,item5,item4,item5,18:00,7to9,Sort of Agree,Sort of Agree,Sort of Agree,Disagree,Sort of Agree,Agree,Sort of Agree,Disagree,Sort of Agree,Agree,Agree,Disagree,Sort of Agree,Sort of Agree,0,0,,meetfriends
item6,19,male,female,73,other,New Orleans,4,2,freshman,"['projectteam', 'otherclub', 'culturalclub']",engineering,Electrical and Computer Engineering,item13,item4,item7,item7,item2,item1,16:00,7to9,Sort of Agree,Sort of Agree,Sort of Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Sort of Agree,Agree,Agree,Agree,3,18,3,willsee
item2,19,female,female,63,black,Chula Vista,1,3,sophomore,"['culturalclub', 'socialclub', 'otherclub']",cals,Applied Economics and Management,item5,item1,item7,item6,item1,item7,23:00,4to6,Strongly Agree,Strongly Agree,Sort of Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Sort of Agree,Disagree,Agree,0,0,48,meetfam
item1,20,female,male,66,white,"New York, NY",1,1,junior,"['proffrat', 'ta', 'otherclub']",engineering,Electrical and Computer Engineering,item6,item5,item7,item3,item1,item7,18:00,7to9,Strongly Agree,Agree,Agree,Disagree,Agree,Sort of Agree,Agree,Sort of Agree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Agree,1,0.5,12,meetfriends
item6,18,male,female,68,asian,"Stony Brook, NY",2,1,freshman,"['greeklife', 'culturalclub', 'otherclub']",cals,Food Science,item13,item6,item3,item6,item3,item3,20:00,7to9,Agree,Agree,Sort of Agree,Disagree,Sort of Agree,Sort of Agree,Sort of Agree,Agree,Disagree,Agree,Agree,Agree,Sort of Agree,Agree,0,lmaoooooo 0,18,willsee
item6,20,male,female,73,white,"McKinney, TX",2,1,sophomore,"['greeklife', 'otherclub']",cals,Environmental and Sustainability Sciences,item1,item1,item7,item6,item5,item6,17:00,7to9,Sort of Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Sort of Agree,Disagree,Sort of Agree,Agree,Agree,4,18,3,willsee
item2,21,female,male,66,white,"Cambridge, MA",2,1,junior,"['greeklife', 'clubsports']",arts,Information Science,item1,item6,item7,item5,item5,item1,9:00,7to9,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Disagree,Sort of Agree,Disagree,Sort of Agree,Agree,Agree,Agree,Sort of Agree,Agree,1,12,24,willsee
item2,19,male,male,72,black,"Brooklyn, New York City ",5,2,sophomore,['socialclub'],arts,Undecided ,item7,item1,item3,item5,item3,item3,21:00,7to9,Strongly Agree,Strongly Agree,Agree,Sort of Agree,Strongly Agree,Strongly Agree,Strongly Agree,Sort of Agree,Agree,Agree,Disagree,Sort of Agree,Disagree,Strongly Agree,0,0,72,willsee
item6,I8,female,male,64,white,Manhasset,3,1,freshman,['athlete'],cals,Biometrics and statistics ,item3,item3,item1,item5,item5,item4,22:43,4to6,Disagree,Disagree,Agree,Sort of Agree,Agree,Strongly Disagree,Agree,Agree,Disagree,Agree,Disagree,Sort of Agree,Sort of Agree,Sort of Agree,1,12,24,willsee
item2,19,male,male,75,white,"Boston, MA",4,1,sophomore,"['clubsports', 'socialclub']",engineering,Biomedical engineering,item13,item1,item1,item3,item4,item4,8:30,7to9,Agree,Strongly Agree,Disagree,Disagree,Sort of Agree,Agree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,3,2,240,willsee
item1,20,female,male,69,asian,"Hiroshima, Japan",2,1,junior,['clubsports'],humec,Nutritional Sciences,item13,item3,item7,item2,item2,item8,9:30,7to9,Sort of Agree,Sort of Agree,Disagree,Disagree,Agree,Sort of Agree,Agree,Sort of Agree,Sort of Agree,Agree,Sort of Agree,Sort of Agree,Sort of Agree,Disagree,1,9,5,married
item5,19,male,female,67,asian,Seoul,3,3,sophomore,,arts,Physics,item13,item1,item3,item6,item4,item2,2:10,7to9,Strongly Agree,Agree,Agree,Agree,Sort of Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,0,0,24,willsee
item5,19,female,male,63,other,"Boston, MA",2,2,sophomore,"['culturalclub', 'proffrat', 'socialclub']",cals,Global Public Health Sciences,item6,item4,item5,item6,item1,item8,2:00 AM,4to6,Agree,Agree,Disagree,Disagree,Disagree,Sort of Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Sort of Agree,Strongly Disagree,Disagree,0,0,72 hours,married
item2,21,female,male,5',black,"Bronxville, NY",1,2,senior,['athlete'],engineering,Biological Engineering ,item13,item3,item4,item6,item2,item8,19:15,4to6,Sort of Agree,Sort of Agree,Disagree,Disagree,Agree,Sort of Agree,Disagree,Agree,Disagree,Agree,Disagree,Sort of Agree,Agree,Sort of Agree,6,2,48,willsee
item2,20,female,male,62,white,"London, United Kingdom",2,4,junior,"['profclub', 'otherclub', 'culturalclub']",cals,Biological sciences,item1,item3,item3,item3,item5,item1,16:00,7to9,Agree,Agree,Strongly Disagree,Disagree,Sort of Agree,Disagree,Sort of Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,0,0,24,meetfriends
item6,19,male,female,73,white,"Greenwich, CT",3,3,sophomore,"['greeklife', 'proffrat', 'otherclub']",arts,"Economics, Classics",item13,item1,item3,item1,item5,item3,7:00pm,7to9,Agree,Sort of Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Sort of Agree,Sort of Agree,0,0,4,willsee
item6,21,female,male,67,white,Greenwich ,2,1,senior,"['greeklife', 'socialclub']",arts,Biology and Society,item6,item5,item7,item2,item5,item4,16:00,7to9,Sort of Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Sort of Agree,Sort of Agree,Disagree,Agree,Strongly Disagree,Agree,3,18,3,willsee
item1,18,male,female,68,asian,"Rochester, NY",2,2,freshman,"['projectteam', 'socialclub']",engineering,Computer Science,item9,item4,item7,item1,item3,item8,19:00,7to9,Sort of Agree,Agree,Disagree,Sort of Agree,Agree,Sort of Agree,Sort of Agree,Agree,Sort of Agree,Sort of Agree,Agree,Sort of Agree,Agree,Agree,2,7,8,willsee
item2,20,female,male,68,white,"Jacksonville, Fl",2,1,junior,"['athlete', 'greeklife']",ilr,ILR,item6,item1,item1,item7,item1,item1,2-Oct,7to9,Agree,Agree,Sort of Agree,Disagree,Sort of Agree,Agree,Disagree,Disagree,Sort of Agree,Sort of Agree,Strongly Disagree,Disagree,Agree,Agree,1,6,24,willsee
item1,19,female,male,62,white,orange county,3,4,sophomore,['greeklife'],cals,Communication,item3,item3,item7,item6,item5,item1,13:00,4to6,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Sort of Agree,Sort of Agree,Agree,Strongly Disagree,Disagree,Sort of Agree,Strongly Agree,Sort of Agree,Sort of Agree,1,4,1,willsee
item6,21,female,male,65,white,London ,4,1,junior,['greeklife'],arts,Economics,item5,item3,item7,item2,item1,item3,16:00,7to9,Agree,Agree,Strongly Disagree,Sort of Agree,Sort of Agree,Sort of Agree,Sort of Agree,Strongly Disagree,Disagree,Sort of Agree,Disagree,Sort of Agree,Sort of Agree,Strongly Disagree,2,24,5-Apr,willsee
item5,25,female,male,65,asian,,2,5,alum,,cals,Nutritional sciences,item9,item1,item5,item1,item1,item4,18:00,4to6,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Sort of Agree,Agree,Sort of Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Agree,1,4,24,willsee
item2,19,female,male,63,asian,"Augusta, GA",2,2,freshman,"['greeklife', 'socialclub', 'culturalclub', 'otherclub']",arts,biological sciences/spanish,item13,item1,item3,item6,item1,item3,20:00,7to9,Sort of Agree,Agree,Disagree,Disagree,Agree,Sort of Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Sort of Agree,0,0,72,willsee
item3,21,female,female,68,white,"Yonkers, NY",2,2,alum,"['ra', 'ta', 'profclub', 'socialclub']",cals,Applied Economics and Management,item6,item4,item3,item3,item6,item4,15:00,7to9,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Sort of Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Agree,2,4,24,willsee
item4,21,male,female,72,asian,China,3,4,senior,"['ra', 'ta', 'socialclub', 'culturalclub', 'otherclub']",arts,Computer Science,item8,item6,item1,item3,item4,item8,21:00,4to6,Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Sort of Agree,Sort of Agree,Sort of Agree,Disagree,Strongly Agree,1,5,24,willsee
item1,21,female,female,63,asian,"Fremont, California",2,2,senior,"['culturalclub', 'socialclub']",arts,Math and Statistical Sciences,item13,item5,item5,item6,item6,item8,16:00,7to9,Sort of Agree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Sort of Agree,Sort of Agree,Strongly Agree,Agree,Agree,Disagree,Sort of Agree,Agree,2,Less than a month,2 hours is too long to not text back!! But generally half a day maybe (?),meetfriends
item1,19,male,female,72,white,"Seoul, South Korea",3,1,freshman,"['socialclub', 'otherclub']",arts,Computer Science,item13,item6,item3,item3,item2,item2,19:00,7to9,Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Sort of Agree,Sort of Agree,Disagree,Sort of Agree,Sort of Agree,Agree,Sort of Agree,Agree,Agree,2,2,48,willsee
item4,18,male,female,68,asian,Mumbai,3,1,freshman,"['culturalclub', 'profclub']",engineering,Electrical and Computer Engineering,item5,item4,item2,item1,item1,item1,23:00,4to6,Agree,Agree,Sort of Agree,Disagree,Strongly Agree,Sort of Agree,Sort of Agree,Agree,Disagree,Strongly Agree,Sort of Agree,Disagree,Sort of Agree,Strongly Agree,1,4,36,willsee
item6,20,male,female,71,white,Buffalo ,4,2,sophomore,"['greeklife', 'socialclub', 'otherclub', 'ta', 'profclub']",cals,Animal Science ,item9,item5,item5,item2,item3,item7,18:30,7to9,Strongly Disagree,Disagree,Disagree,Sort of Agree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Sort of Agree,Sort of Agree,Sort of Agree,Sort of Agree,4,4,36,willsee
item1,18,female,male,66,white,Chicago,2,2,freshman,"['greeklife', 'projectteam']",engineering,Operations Research and Information Engineering,item3,item1,item3,item1,item2,item4,late afternoon,7to9,Agree,Sort of Agree,Disagree,Disagree,Sort of Agree,Sort of Agree,Disagree,Sort of Agree,Disagree,Agree,Agree,Agree,Disagree,Sort of Agree,3,1,6,willsee
item1,22,female,male,62,black,Atlanta,1,4,senior,['socialclub'],cals,Biology and Society,item3,item4,item2,item2,item1,item7,16:00,7to9,Agree,Agree,Disagree,Disagree,Sort of Agree,Sort of Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Sort of Agree,1,on and off for almost a year,5 hours,willsee
item6,20,male,female,69,asian,Great Neck,1,3,junior,"['greeklife', 'clubsports', 'socialclub']",arts,Information Science,item6,item4,item7,item6,item3,item8,2:00,4to6,Agree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Sort of Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,3,26,3,willsee
item2,21,male,female,71,white,Buffalo,3,1,junior,['otherclub'],humec,Policy Analysis and Management,item5,item3,item7,item2,item4,item5,9:00,7to9,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Sort of Agree,Sort of Agree,Agree,0,0,48,willsee
item2,18,female,either,69,other,Dhaka ,2,1,freshman,['culturalclub'],arts,Mathematics & Economics ,item13,item1,item7,item2,item3,item8,16:20,4to6,Agree,Sort of Agree,Sort of Agree,Agree,Agree,Disagree,Disagree,Sort of Agree,Sort of Agree,Disagree,Sort of Agree,Disagree,Agree,Strongly Agree,1,1,48,meetfriends
item2,18,female,male,66,white,"San Jose, CA",2,3,freshman,['greeklife'],humec,Human Development,item3,item6,item7,item2,item1,item1,Late morning or early night ,7to9,Agree,Agree,Strongly Disagree,Sort of Agree,Sort of Agree,Agree,Disagree,Agree,Disagree,Agree,Sort of Agree,Sort of Agree,Sort of Agree,Agree,0,yikes,3,willsee
item6,19,female,male,74,white,NYC,2,3,sophomore,"['greeklife', 'culturalclub', 'profclub', 'ta', 'otherclub']",cals,Applied Economics and Management,item5,item1,item6,item5,item5,item3,16:00,7to9,Sort of Agree,Sort of Agree,Sort of Agree,Sort of Agree,Agree,Disagree,Agree,Sort of Agree,Sort of Agree,Agree,Disagree,Agree,Disagree,Sort of Agree,2,1,7,meetfam
item3,18,female,male,5',other,"Montauk, NY",3,1,freshman,,cals,Environmental Science,item5,item3,item3,item2,item1,item1,14:12,7to9,Sort of Agree,Sort of Agree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Sort of Agree,Disagree,Sort of Agree,Sort of Agree,Sort of Agree,Disagree,Sort of Agree,0,0,12,willsee
item5,19,female,male,63,asian,New York City,3,1,sophomore,,engineering,Computer Science,item11,item3,item7,item3,item4,item8,22:00,4to6,Strongly Agree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Sort of Agree,Agree,Strongly Agree,Sort of Agree,Agree,Agree,2,14,2,willsee
item2,22,male,female,76,white,Sacramento,4,1,senior,"['greeklife', 'clubsports']",engineering,Civil Engineering,item4,item4,item7,item6,item1,item3,17:00,4to6,Agree,Sort of Agree,Agree,Disagree,Sort of Agree,Disagree,Disagree,Agree,Disagree,Agree,Sort of Agree,Disagree,Sort of Agree,Disagree,8,25,24,meetfriends
item5,21,female,male,67,white,Ogdensburg NY,1,1,junior,['socialclub'],cals,Environmental Sustainability Studies ,item3,item5,item7,item7,item6,item3,2:00,7to9,Sort of Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Sort of Agree,Agree,0,0,12,onenightstand
item1,23,female,female,67,asian,"Boulder, Colorado ",2,1,senior,['otherclub'],ilr,Industrial and Labor Relations,item3,item5,item7,item5,item6,item2,23:33,7to9,Strongly Disagree,Sort of Agree,Sort of Agree,Sort of Agree,Strongly Agree,Disagree,Agree,Sort of Agree,Sort of Agree,Sort of Agree,Sort of Agree,Disagree,Sort of Agree,Agree,A lot,6 months,2,willsee
item2,20,female,male,63,asian,"Kota, Rajasthan, India ",1,2,senior,"['proffrat', 'greeklife', 'ta', 'otherclub']",cals,Biological Sciences ,item10,item1,item7,item3,item1,item4,21:00,7to9,Sort of Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Sort of Agree,Agree,Agree,Agree,Sort of Agree,Sort of Agree,Agree,4,11,8,willsee
item6,20,male,male,68,white,Philly,1,1,junior,"['greeklife', 'socialclub']",arts,Computer Science,item9,item2,item5,item7,item3,item3,1:00,7to9,Agree,Agree,Sort of Agree,Disagree,Sort of Agree,Strongly Agree,Disagree,Strongly Agree,Sort of Agree,Agree,Disagree,Disagree,Sort of Agree,Sort of Agree,3,0,36,meetfriends
item5,18,male,female,74,other,Caldwell,3,2,freshman,"['greeklife', 'clubsports', 'socialclub', 'otherclub']",arts,Computer Science,item2,item1,item6,item6,item5,item4,23:01,4to6,Disagree,Disagree,Strongly Agree,Sort of Agree,Strongly Agree,Strongly Disagree,Agree,Sort of Agree,Strongly Disagree,Strongly Agree,Agree,Sort of Agree,Agree,Strongly Agree,4,6,8,willsee
item4,20,male,female,74,other,"Fairfield, CA",3,1,freshman,"['culturalclub', 'otherclub']",cals,Viticulture and Enology,item3,item3,item7,item6,item1,item2,20:00,7to9,Disagree,Agree,Agree,Sort of Agree,Sort of Agree,Strongly Disagree,Sort of Agree,Agree,Sort of Agree,Strongly Agree,Agree,Sort of Agree,Agree,Strongly Agree,0,0,2,willsee
item5,20,female,female,65,latino,Chicago,1,3,sophomore,,engineering,Computer Science,item13,item1,item2,item6,item1,item8,22:00,4to6,Sort of Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Sort of Agree,Strongly Agree,Sort of Agree,Strongly Agree,Disagree,Sort of Agree,0,0,24,willsee
item2,19,male,female,72,latino,Coral Springs FL,2,4,sophomore,"['profclub', 'projectteam', 'clubsports', 'ta']",engineering,Operations Research and Information Engineering,item6,item5,item3,item3,item1,item4,22:00,7to9,Sort of Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Sort of Agree,Agree,0,0,4,willsee
item6,19,male,female,68,asian,"Oneida, NY",3,3,sophomore,"['greeklife', 'proffrat', 'clubsports', 'profclub']",humec,"Human Biology, Health, and Society",item11,item1,item7,item6,item5,item4,20:00,7to9,Strongly Agree,Agree,Disagree,Sort of Agree,Strongly Agree,Strongly Disagree,Agree,Sort of Agree,Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Sort of Agree,3,6 months,Never too long,willsee
item1,19,female,male,69,white,New York City,2,3,sophomore,"['greeklife', 'otherclub', 'ta']",cals,Communication ,item6,item1,item1,item5,item5,item3,7:00,7to9,Disagree,Agree,Strongly Disagree,Strongly Disagree,Sort of Agree,Disagree,Agree,Disagree,Sort of Agree,Sort of Agree,Agree,Sort of Agree,Sort of Agree,Sort of Agree,1,10,2 hours ,willsee
item6,19,male,female,71,white,,2,1,sophomore,"['greeklife', 'projectteam']",arts,Computer Science,item13,item4,item1,item2,item6,item7,18:00,7to9,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Sort of Agree,Strongly Agree,Sort of Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,2,6,8,willsee
item2,19,male,female,73,white,San Diego,3,4,freshman,['otherclub'],engineering,Computer Science,item9,item1,item7,item3,item5,item4,21:55,7to9,Agree,Agree,Disagree,Disagree,Strongly Agree,Agree,Disagree,Sort of Agree,Agree,Sort of Agree,Disagree,Agree,Disagree,Disagree,Three,Three,24,willsee
item6,18,male,female,70,asian,"Buffalo, New York",2,4,freshman,"['profclub', 'otherclub', 'socialclub']",arts,Computer Science,item9,item4,item7,item2,item4,item4,17:10,7to9,Agree,Sort of Agree,Disagree,Agree,Agree,Strongly Agree,Sort of Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Sort of Agree,1,1,48 Hours,meetfam
item6,20,female,male,65,other,New Dehli,1,1,junior,"['clubsports', 'otherclub']",engineering,Electrical and Computer Engineering,item3,item6,item4,item3,item6,item4,23:00,7to9,Sort of Agree,Disagree,Sort of Agree,Agree,Strongly Agree,Disagree,Agree,Sort of Agree,Agree,Sort of Agree,Agree,Strongly Agree,Sort of Agree,Strongly Agree,5,24,20,willsee
item6,22,female,male,68,white,12/23/1996,2,1,senior,"['greeklife', 'otherclub', 'ta']",arts,"Biology, Anthropology",item13,item3,item3,item5,item5,item6,Morning or afternoon,7to9,Strongly Agree,Agree,Strongly Disagree,Disagree,Sort of Agree,Sort of Agree,Disagree,Agree,Strongly Disagree,Sort of Agree,Sort of Agree,Strongly Agree,Agree,Sort of Agree,2,3,24,willsee
item6,22,female,female,68,white,"Detroit, MI",1,2,senior,"['greeklife', 'clubsports', 'socialclub']",arts,Biology,item2,item4,item1,item1,item6,item4,10:00,7to9,Agree,Sort of Agree,Sort of Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Sort of Agree,Strongly Agree,Disagree,Strongly Agree,1,1 year,3 hours,married
item2,20,female,male,68,latino,Brownsville,3,5,junior,"['otherclub', 'ra']",arts,Earth and Atmospheric Science,item5,item1,item7,item5,item1,item8,18:30,7to9,Agree,Sort of Agree,Agree,Strongly Disagree,Sort of Agree,Sort of Agree,Agree,Strongly Agree,Disagree,Sort of Agree,Disagree,Sort of Agree,Strongly Disagree,Agree,None,0,24,willsee
item2,18,female,male,64,asian,Portland,2,1,freshman,"['otherclub', 'profclub', 'culturalclub']",humec,Nutritional Sciences,item13,item3,item3,item2,item1,item4,13:00,4to6,Sort of Agree,Agree,Sort of Agree,Disagree,Sort of Agree,Disagree,Disagree,Agree,Sort of Agree,Agree,Sort of Agree,Disagree,Disagree,Disagree,None,None,14,willsee
item6,18,female,male,62,asian,Guangzhou,2,1,freshman,"['projectteam', 'socialclub', 'culturalclub']",cals,Landscape Architecture,item1,item3,item5,item6,item3,item8,14:00,7to9,Agree,Sort of Agree,Sort of Agree,Sort of Agree,Sort of Agree,Sort of Agree,Sort of Agree,Sort of Agree,Disagree,Agree,Agree,Agree,Sort of Agree,Sort of Agree,0,0,24,willsee
item2,21,female,male,68,white,Manhattan,3,3,senior,"['profclub', 'greeklife', 'otherclub', 'socialclub']",ilr,Ilr,item3,item6,item1,item2,item5,item6,11:20,4to6,Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,3,24,10,willsee
item6,22,male,female,71,white,NYC,2,2,senior,"['greeklife', 'otherclub']",ilr,Industrial and Labor Relations,item13,item1,item2,item3,item5,item4,20:00,7to9,Sort of Agree,Disagree,Agree,Sort of Agree,Sort of Agree,Disagree,Agree,Sort of Agree,Sort of Agree,Strongly Agree,Sort of Agree,Disagree,Disagree,Sort of Agree,2,16,25,willsee
item2,21,female,male,63,white,"Peterborough, NH",1,2,junior,"['greeklife', 'otherclub']",arts,Biological Sciences ,item13,item1,item5,item7,item1,item3,19:30,7to9,Agree,Sort of Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Sort of Agree,Agree,2,36,12,willsee
item6,18,male,male,70,white,Washington DC,2,2,freshman,"['socialclub', 'culturalclub']",arts,Spanish,item13,item3,item1,item2,item2,item1,15:30,10,Disagree,Sort of Agree,Disagree,Agree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,0,0,12,willsee
